,accuracy,start,end,dead_kernels,external_start,external_end
0,0.825,2024-07-02T09:50:31.890407,2024-07-02T09:51:00.840683,[],2024-07-02T09:50:31.865848,2024-07-02T09:51:10.165060
1,0.8,2024-07-02T09:51:10.188006,2024-07-02T09:51:34.497721,[],2024-07-02T09:51:10.178022,2024-07-02T09:51:44.034288
2,0.9,2024-07-02T09:51:44.058018,2024-07-02T09:52:08.141327,[],2024-07-02T09:51:44.049322,2024-07-02T09:52:17.291051
3,0.925,2024-07-02T09:52:17.312360,2024-07-02T09:52:41.898169,[],2024-07-02T09:52:17.306238,2024-07-02T09:52:49.036556
4,0.9,2024-07-02T09:52:49.059865,2024-07-02T09:53:11.979304,[],2024-07-02T09:52:49.053295,2024-07-02T09:53:21.152501
5,0.9,2024-07-02T09:53:21.174270,2024-07-02T09:53:46.380304,[],2024-07-02T09:53:21.167542,2024-07-02T09:53:54.109646
6,0.85,2024-07-02T09:53:54.133143,2024-07-02T09:54:17.768364,[],2024-07-02T09:53:54.124757,2024-07-02T09:54:28.296618
7,0.9,2024-07-02T09:54:28.319226,2024-07-02T09:54:51.965429,[],2024-07-02T09:54:28.310358,2024-07-02T09:55:00.664719
8,0.9,2024-07-02T09:55:00.687863,2024-07-02T09:55:23.868231,[],2024-07-02T09:55:00.678612,2024-07-02T09:55:32.539301
9,0.9,2024-07-02T09:55:32.558323,2024-07-02T09:55:55.267284,[],2024-07-02T09:55:32.550557,2024-07-02T09:56:03.947281
10,0.85,2024-07-02T09:56:03.966700,2024-07-02T09:56:26.896116,[],2024-07-02T09:56:03.959537,2024-07-02T09:56:34.840578
11,0.8,2024-07-02T09:56:34.858723,2024-07-02T09:56:57.615488,[],2024-07-02T09:56:34.852331,2024-07-02T09:57:06.619359
12,0.925,2024-07-02T09:57:06.637318,2024-07-02T09:57:30.090266,[],2024-07-02T09:57:06.630999,2024-07-02T09:57:39.328845
13,0.85,2024-07-02T09:57:39.348699,2024-07-02T09:58:01.451675,[],2024-07-02T09:57:39.342163,2024-07-02T09:58:10.604187
14,0.775,2024-07-02T09:58:10.622081,2024-07-02T09:58:33.447123,[],2024-07-02T09:58:10.616209,2024-07-02T09:58:43.324193
15,0.875,2024-07-02T09:58:43.342100,2024-07-02T09:59:06.139015,[],2024-07-02T09:58:43.336091,2024-07-02T09:59:15.321024
16,0.875,2024-07-02T09:59:15.338457,2024-07-02T09:59:38.368982,[],2024-07-02T09:59:15.332452,2024-07-02T09:59:48.069888
17,0.8,2024-07-02T09:59:48.090671,2024-07-02T10:00:12.665994,[],2024-07-02T09:59:48.083972,2024-07-02T10:00:22.324604
18,0.85,2024-07-02T10:00:22.344698,2024-07-02T10:00:44.471272,[],2024-07-02T10:00:22.338933,2024-07-02T10:00:55.035939
19,0.85,2024-07-02T10:00:55.054076,2024-07-02T10:01:17.572522,[],2024-07-02T10:00:55.047948,2024-07-02T10:01:27.187564
20,0.925,2024-07-02T10:01:27.209289,2024-07-02T10:01:50.133523,[],2024-07-02T10:01:27.199865,2024-07-02T10:02:01.691885
21,0.925,2024-07-02T10:02:01.735883,2024-07-02T10:02:26.295418,[],2024-07-02T10:02:01.704103,2024-07-02T10:02:36.612602
22,0.825,2024-07-02T10:02:36.629444,2024-07-02T10:02:59.488992,[],2024-07-02T10:02:36.623622,2024-07-02T10:03:09.246648
23,0.9,2024-07-02T10:03:09.266533,2024-07-02T10:03:33.327798,[],2024-07-02T10:03:09.260647,2024-07-02T10:03:43.205591
24,0.825,2024-07-02T10:03:43.223017,2024-07-02T10:04:06.438418,[],2024-07-02T10:03:43.216536,2024-07-02T10:04:16.122377
