,accuracy,start,end,dead_kernels,external_start,external_end
0,0.85,2024-06-19T16:08:00.862434,2024-06-19T16:08:23.941836,[],2024-06-19T16:08:00.854148,2024-06-19T16:08:27.398843
1,0.9,2024-06-19T16:08:27.416753,2024-06-19T16:08:51.389530,[],2024-06-19T16:08:27.409881,2024-06-19T16:08:54.892929
2,0.875,2024-06-19T16:08:54.912180,2024-06-19T16:09:17.218549,[],2024-06-19T16:08:54.905586,2024-06-19T16:09:21.161796
3,0.875,2024-06-19T16:09:21.179869,2024-06-19T16:09:43.745206,[],2024-06-19T16:09:21.173076,2024-06-19T16:09:47.237782
4,0.825,2024-06-19T16:09:47.255836,2024-06-19T16:10:10.966763,[],2024-06-19T16:09:47.249797,2024-06-19T16:10:14.692561
5,0.9,2024-06-19T16:10:14.711308,2024-06-19T16:10:40.164876,[],2024-06-19T16:10:14.704650,2024-06-19T16:10:43.578197
6,0.9,2024-06-19T16:10:43.597995,2024-06-19T16:11:06.783919,[],2024-06-19T16:10:43.591158,2024-06-19T16:11:10.061701
7,0.85,2024-06-19T16:11:10.083113,2024-06-19T16:11:34.299628,[],2024-06-19T16:11:10.076081,2024-06-19T16:11:38.210337
8,0.85,2024-06-19T16:11:38.229583,2024-06-19T16:12:00.808434,[],2024-06-19T16:11:38.222962,2024-06-19T16:12:04.920820
9,0.75,2024-06-19T16:12:04.940822,2024-06-19T16:12:29.817700,[],2024-06-19T16:12:04.934416,2024-06-19T16:12:33.256697
10,0.85,2024-06-19T16:12:33.277276,2024-06-19T16:12:56.587219,[],2024-06-19T16:12:33.269156,2024-06-19T16:12:59.971163
11,0.9,2024-06-19T16:12:59.993317,2024-06-19T16:13:22.947398,[],2024-06-19T16:12:59.985325,2024-06-19T16:13:26.423384
12,0.8,2024-06-19T16:13:26.444095,2024-06-19T16:13:49.415422,[],2024-06-19T16:13:26.437318,2024-06-19T16:13:53.452989
13,0.9,2024-06-19T16:13:53.471275,2024-06-19T16:14:16.022773,[],2024-06-19T16:13:53.464666,2024-06-19T16:14:19.426624
14,0.9,2024-06-19T16:14:19.446866,2024-06-19T16:14:43.192558,[],2024-06-19T16:14:19.439572,2024-06-19T16:14:46.764040
15,0.825,2024-06-19T16:14:46.783233,2024-06-19T16:15:09.970768,[],2024-06-19T16:14:46.776789,2024-06-19T16:15:13.431019
16,0.9,2024-06-19T16:15:13.449992,2024-06-19T16:15:35.825152,[],2024-06-19T16:15:13.443492,2024-06-19T16:15:39.125320
17,0.875,2024-06-19T16:15:39.147140,2024-06-19T16:16:01.746775,[],2024-06-19T16:15:39.140735,2024-06-19T16:16:05.792971
18,0.9,2024-06-19T16:16:05.813304,2024-06-19T16:16:29.850824,[],2024-06-19T16:16:05.806800,2024-06-19T16:16:33.229524
19,0.85,2024-06-19T16:16:33.251117,2024-06-19T16:16:55.659412,[],2024-06-19T16:16:33.244379,2024-06-19T16:16:59.822415
20,0.9,2024-06-19T16:16:59.842737,2024-06-19T16:17:23.333847,[],2024-06-19T16:16:59.835648,2024-06-19T16:17:27.364994
21,0.9,2024-06-19T16:17:27.408554,2024-06-19T16:17:50.440922,[],2024-06-19T16:17:27.380876,2024-06-19T16:17:54.012526
22,0.825,2024-06-19T16:17:54.034642,2024-06-19T16:18:16.930780,[],2024-06-19T16:17:54.027893,2024-06-19T16:18:21.461541
23,0.85,2024-06-19T16:18:21.484918,2024-06-19T16:18:45.760173,[],2024-06-19T16:18:21.477117,2024-06-19T16:18:49.621221
24,0.9,2024-06-19T16:18:49.642167,2024-06-19T16:19:12.452770,[],2024-06-19T16:18:49.636191,2024-06-19T16:19:16.701294
