,timestamp,gpu_memory_util,gpu_util,power,total_energy,temperature,gpu_memory_total,gpu_memory_reserved,gpu_memory_free,gpu_memory_used,cpu_util,host_memory_total,host_memory_used,host_memory_free,host_memory_percentage,swap_memory_total,swap_memory_used,swap_memory_free,swap_memory_percentage,swap_memory_in,swap_memory_out
0,2024-07-02T09:11:28.221445,0,0,22047,89386306097,35,48305799168,569180160,47736422400,196608,6.5,101243179008,2117615616,91446460416,3.1,8589930496,86032384,8503898112,1.0,18060357632,140621090816
1,2024-07-02T09:11:28.709910,0,0,22047,89386317194,35,48305799168,569180160,47736422400,196608,32.0,101243179008,2518040576,91046031360,3.5,8589930496,86032384,8503898112,1.0,18060357632,140621090816
2,2024-07-02T09:11:29.210602,0,0,22039,89386328198,35,48305799168,569180160,47736422400,196608,83.7,101243179008,3292762112,90271019008,4.3,8589930496,86032384,8503898112,1.0,18060357632,140621090816
3,2024-07-02T09:11:29.711076,0,0,22039,89386339205,35,48305799168,569180160,47736422400,196608,6.6,101243179008,3364900864,90198556672,4.3,8589930496,86032384,8503898112,1.0,18060357632,140621090816
4,2024-07-02T09:11:30.211664,0,0,22039,89386350491,35,48305799168,569180160,47736422400,196608,5.1,101243179008,3448250368,90115207168,4.4,8589930496,86032384,8503898112,1.0,18060357632,140621090816
5,2024-07-02T09:11:30.711979,0,0,22039,89386361484,35,48305799168,569180160,47736422400,196608,20.8,101243179008,3512246272,90051211264,4.5,8589930496,86032384,8503898112,1.0,18060357632,140621090816
6,2024-07-02T09:11:31.212803,0,0,21998,89386372465,35,48305799168,569180160,47736422400,196608,5.0,101243179008,3542171648,90021277696,4.5,8589930496,86032384,8503898112,1.0,18060357632,140621090816
7,2024-07-02T09:11:31.713555,0,0,21998,89386383897,35,48305799168,569180160,47736422400,196608,1.1,101243179008,3547324416,90016116736,4.5,8589930496,86032384,8503898112,1.0,18060357632,140621090816
8,2024-07-02T09:11:32.214255,0,0,21998,89386394905,35,48305799168,569180160,47736422400,196608,0.3,101243179008,3548098560,90015342592,4.5,8589930496,86032384,8503898112,1.0,18060357632,140621090816
9,2024-07-02T09:11:32.714992,0,0,21998,89386405894,35,48305799168,569180160,47736422400,196608,0.5,101243179008,3548098560,90015342592,4.5,8589930496,86032384,8503898112,1.0,18060357632,140621090816
10,2024-07-02T09:11:33.215741,0,0,22047,89386416958,35,48305799168,569180160,47736422400,196608,0.5,101243179008,3549130752,90014310400,4.5,8589930496,86032384,8503898112,1.0,18060357632,140621090816
11,2024-07-02T09:11:33.716480,0,0,22047,89386427946,35,48305799168,569180160,47736422400,196608,0.4,101243179008,3549900800,90013536256,4.5,8589930496,86032384,8503898112,1.0,18060357632,140621090816
12,2024-07-02T09:11:34.217070,0,0,22047,89386438924,35,48305799168,569180160,47736422400,196608,0.8,101243179008,3557900288,90005536768,4.5,8589930496,86032384,8503898112,1.0,18060357632,140621090816
13,2024-07-02T09:11:34.717617,0,0,28412,89386456575,36,48305799168,569180160,47733407744,3211264,4.1,101243179008,3688853504,89874583552,4.7,8589930496,86032384,8503898112,1.0,18060357632,140621090816
14,2024-07-02T09:11:35.218294,0,0,45991,89386485391,36,48305799168,569180160,47733407744,3211264,5.1,101243179008,3800330240,89763106816,4.8,8589930496,86032384,8503898112,1.0,18060357632,140621090816
15,2024-07-02T09:11:35.719237,0,5,61417,89386517345,37,48305799168,569180160,47409070080,327548928,9.9,101243179008,4242206720,89310994432,5.2,8589930496,86032384,8503898112,1.0,18060357632,140621090816
