,timestamp,gpu_memory_util,gpu_util,power,total_energy,temperature,gpu_memory_total,gpu_memory_reserved,gpu_memory_free,gpu_memory_used,cpu_util,host_memory_total,host_memory_used,host_memory_free,host_memory_percentage
36,2024-06-19T16:33:20.553514,22,34,208005,16242283028,48,48305799168,569180160,42141024256,5595594752,2.8,101243179008,6099103744,82600382464,7.0
37,2024-06-19T16:33:21.054210,0,0,136718,16242332078,50,48305799168,569180160,42141024256,5595594752,1.4,101243179008,6099804160,82599682048,7.0
38,2024-06-19T16:33:21.554817,0,0,99795,16242377951,46,48305799168,569180160,42141024256,5595594752,0.7,101243179008,6099804160,82599682048,7.0
39,2024-06-19T16:33:22.055501,0,0,100550,16242417816,46,48305799168,569180160,42141024256,5595594752,20.1,101243179008,6125035520,82574413824,7.1
40,2024-06-19T16:33:22.556051,0,0,100550,16242456266,45,48305799168,569180160,42141024256,5595594752,8.9,101243179008,6199894016,82499100672,7.1
41,2024-06-19T16:33:23.056819,0,0,100550,16242494657,45,48305799168,569180160,42141024256,5595594752,5.4,101243179008,6277054464,82421944320,7.2
42,2024-06-19T16:33:23.557201,0,0,77035,16242533429,45,48305799168,569180160,42141024256,5595594752,21.2,101243179008,6338695168,82360582144,7.3
43,2024-06-19T16:33:24.186827,0,0,77618,16242580586,45,48305799168,569180160,42141024256,5595594752,3.3,101243179008,6360301568,82338975744,7.3
44,2024-06-19T16:33:24.558348,0,0,77618,16242612194,44,48305799168,569180160,42141024256,5595594752,0.4,101243179008,6344548352,82354728960,7.3
45,2024-06-19T16:33:25.058948,0,0,77618,16242650929,44,48305799168,569180160,42141024256,5595594752,1.2,101243179008,6348546048,82350632960,7.3
46,2024-06-19T16:33:25.559604,0,0,78204,16242689646,44,48305799168,569180160,42141024256,5595594752,0.3,101243179008,6348546048,82350632960,7.3
47,2024-06-19T16:33:26.060150,0,0,78063,16242728362,44,48305799168,569180160,42141024256,5595594752,0.2,101243179008,6348800000,82350379008,7.3
48,2024-06-19T16:33:26.560814,0,0,78063,16242767856,44,48305799168,569180160,42141024256,5595594752,2.2,101243179008,6347980800,82351194112,7.3
49,2024-06-19T16:33:27.061587,0,0,78063,16242806560,44,48305799168,569180160,42141024256,5595594752,1.4,101243179008,6352580608,82346594304,7.3
50,2024-06-19T16:33:27.562083,0,0,77868,16242845208,44,48305799168,569180160,42141024256,5595594752,1.4,101243179008,6371356672,82327818240,7.3
51,2024-06-19T16:33:28.062911,0,0,77815,16242884010,44,48305799168,569180160,42141024256,5595594752,5.3,101243179008,6521577472,82177593344,7.5
52,2024-06-19T16:33:28.563201,0,0,77815,16242923705,44,48305799168,569180160,42141024256,5595594752,6.9,101243179008,6687997952,82011172864,7.6
53,2024-06-19T16:33:29.064122,0,6,78698,16242963611,44,48305799168,569180160,41814589440,5922029568,10.3,101243179008,7228186624,81460776960,8.2
54,2024-06-19T16:33:29.564494,0,9,79377,16243002703,44,48305799168,569180160,41296592896,6440026112,5.3,101243179008,7487799296,81194901504,8.4
55,2024-06-19T16:33:30.064984,11,17,118638,16243068925,50,48305799168,569180160,36548640768,11187978240,5.7,101243179008,7994662912,80687718400,8.9
56,2024-06-19T16:33:30.565604,62,96,208128,16243205098,54,48305799168,569180160,36548640768,11187978240,5.2,101243179008,7995396096,80686985216,8.9
57,2024-06-19T16:33:31.066130,62,96,283670,16243343048,55,48305799168,569180160,36548640768,11187978240,9.3,101243179008,8001368064,80680972288,8.9
58,2024-06-19T16:33:31.566681,64,93,270716,16243480859,55,48305799168,569180160,36548640768,11187978240,5.1,101243179008,8001368064,80680972288,8.9
59,2024-06-19T16:33:32.067299,67,97,275628,16243615988,52,48305799168,569180160,36548640768,11187978240,4.1,101243179008,8001503232,80680837120,8.9
