,accuracy,start,end,dead_kernels,external_start,external_end
0,0.9,2024-07-01T14:30:37.201632,2024-07-01T14:30:54.092615,[],2024-07-01T14:30:37.183952,2024-07-01T14:30:54.098885
1,0.85,2024-07-01T14:30:54.121423,2024-07-01T14:31:10.281573,[],2024-07-01T14:30:54.115624,2024-07-01T14:31:10.285495
2,0.925,2024-07-01T14:31:10.302737,2024-07-01T14:31:27.075085,[],2024-07-01T14:31:10.296840,2024-07-01T14:31:27.079655
3,0.9,2024-07-01T14:31:27.097479,2024-07-01T14:31:43.188441,[],2024-07-01T14:31:27.091514,2024-07-01T14:31:43.193135
4,0.775,2024-07-01T14:31:43.210995,2024-07-01T14:32:00.216322,[],2024-07-01T14:31:43.205189,2024-07-01T14:32:00.220590
5,0.875,2024-07-01T14:32:00.240782,2024-07-01T14:32:17.201861,[],2024-07-01T14:32:00.233595,2024-07-01T14:32:17.206391
6,0.925,2024-07-01T14:32:17.224556,2024-07-01T14:32:34.106613,[],2024-07-01T14:32:17.218439,2024-07-01T14:32:34.112315
7,0.825,2024-07-01T14:32:34.133238,2024-07-01T14:32:50.755096,[],2024-07-01T14:32:34.126738,2024-07-01T14:32:50.759058
8,out of memory,2024-07-01T14:32:50.777612,2024-07-01T14:32:58.421657,[],2024-07-01T14:32:50.770323,2024-07-01T14:32:58.426269
9,out of memory,2024-07-01T14:32:58.444917,2024-07-01T14:33:06.445482,[],2024-07-01T14:32:58.438437,2024-07-01T14:33:06.449871
10,out of memory,2024-07-01T14:33:06.466291,2024-07-01T14:33:14.857043,[],2024-07-01T14:33:06.460303,2024-07-01T14:33:14.862512
11,out of memory,2024-07-01T14:33:14.884583,2024-07-01T14:33:22.464677,[],2024-07-01T14:33:14.877493,2024-07-01T14:33:22.469968
12,out of memory,2024-07-01T14:33:22.489306,2024-07-01T14:33:30.141704,[],2024-07-01T14:33:22.482925,2024-07-01T14:33:30.146173
13,out of memory,2024-07-01T14:33:30.166130,2024-07-01T14:33:38.337063,[],2024-07-01T14:33:30.156788,2024-07-01T14:33:38.341775
14,out of memory,2024-07-01T14:33:38.361268,2024-07-01T14:33:45.835683,[],2024-07-01T14:33:38.354636,2024-07-01T14:33:45.841123
15,out of memory,2024-07-01T14:33:45.864257,2024-07-01T14:33:53.021783,[],2024-07-01T14:33:45.855245,2024-07-01T14:33:53.027319
16,out of memory,2024-07-01T14:33:53.047492,2024-07-01T14:34:00.139732,[],2024-07-01T14:33:53.041845,2024-07-01T14:34:00.145676
17,out of memory,2024-07-01T14:34:00.168716,2024-07-01T14:34:07.278508,[],2024-07-01T14:34:00.159963,2024-07-01T14:34:07.284686
18,out of memory,2024-07-01T14:34:07.305416,2024-07-01T14:34:14.919107,[],2024-07-01T14:34:07.298917,2024-07-01T14:34:14.925355
19,out of memory,2024-07-01T14:34:14.946190,2024-07-01T14:34:23.624347,[],2024-07-01T14:34:14.940032,2024-07-01T14:34:23.630074
20,out of memory,2024-07-01T14:34:23.650577,2024-07-01T14:34:31.466108,[],2024-07-01T14:34:23.644690,2024-07-01T14:34:31.470892
21,out of memory,2024-07-01T14:34:31.508184,2024-07-01T14:34:39.120741,[],2024-07-01T14:34:31.482393,2024-07-01T14:34:39.125239
22,out of memory,2024-07-01T14:34:39.143441,2024-07-01T14:34:46.378287,[],2024-07-01T14:34:39.135707,2024-07-01T14:34:46.383638
23,out of memory,2024-07-01T14:34:46.402915,2024-07-01T14:34:53.331135,[],2024-07-01T14:34:46.396305,2024-07-01T14:34:53.336282
24,out of memory,2024-07-01T14:34:53.354593,2024-07-01T14:35:00.591827,[],2024-07-01T14:34:53.348392,2024-07-01T14:35:00.596716
