,accuracy,start,end,dead_kernels,external_start,external_end
0,0.9,2024-07-02T09:11:28.908734,2024-07-02T09:11:46.490376,[],2024-07-02T09:11:28.891309,2024-07-02T09:11:46.495279
1,0.825,2024-07-02T09:11:46.514585,2024-07-02T09:12:03.407919,[],2024-07-02T09:11:46.507933,2024-07-02T09:12:03.412502
2,0.925,2024-07-02T09:12:03.433993,2024-07-02T09:12:20.639981,[],2024-07-02T09:12:03.426794,2024-07-02T09:12:20.643706
3,0.85,2024-07-02T09:12:20.661884,2024-07-02T09:12:37.821639,[],2024-07-02T09:12:20.655874,2024-07-02T09:12:37.826001
4,0.8,2024-07-02T09:12:37.846337,2024-07-02T09:12:55.111486,[],2024-07-02T09:12:37.840121,2024-07-02T09:12:55.117007
5,0.9,2024-07-02T09:12:55.137545,2024-07-02T09:13:12.474363,[],2024-07-02T09:12:55.131653,2024-07-02T09:13:12.478555
6,0.875,2024-07-02T09:13:12.498654,2024-07-02T09:13:29.127222,[],2024-07-02T09:13:12.491122,2024-07-02T09:13:29.131689
7,0.9,2024-07-02T09:13:29.152079,2024-07-02T09:13:46.680092,[],2024-07-02T09:13:29.144898,2024-07-02T09:13:46.684380
8,0.875,2024-07-02T09:13:46.701963,2024-07-02T09:14:05.576019,[],2024-07-02T09:13:46.695949,2024-07-02T09:14:05.579790
9,0.85,2024-07-02T09:14:05.597929,2024-07-02T09:14:24.247570,[],2024-07-02T09:14:05.592013,2024-07-02T09:14:24.253529
10,0.85,2024-07-02T09:14:24.274576,2024-07-02T09:14:44.058946,[],2024-07-02T09:14:24.268797,2024-07-02T09:14:44.064580
11,0.925,2024-07-02T09:14:44.085695,2024-07-02T09:15:03.501792,[],2024-07-02T09:14:44.079128,2024-07-02T09:15:03.506390
12,0.9,2024-07-02T09:15:03.525131,2024-07-02T09:15:22.728337,[],2024-07-02T09:15:03.518476,2024-07-02T09:15:22.734221
13,0.85,2024-07-02T09:15:22.755027,2024-07-02T09:15:43.137821,[],2024-07-02T09:15:22.749322,2024-07-02T09:15:43.142780
14,0.925,2024-07-02T09:15:43.161115,2024-07-02T09:16:03.115098,[],2024-07-02T09:15:43.154256,2024-07-02T09:16:03.118921
15,0.775,2024-07-02T09:16:03.137717,2024-07-02T09:16:22.319369,[],2024-07-02T09:16:03.130399,2024-07-02T09:16:22.323427
16,0.8,2024-07-02T09:16:22.346200,2024-07-02T09:16:42.050225,[],2024-07-02T09:16:22.337055,2024-07-02T09:16:42.055525
17,0.85,2024-07-02T09:16:42.077868,2024-07-02T09:17:04.445319,[],2024-07-02T09:16:42.071394,2024-07-02T09:17:04.452876
18,0.85,2024-07-02T09:17:04.475319,2024-07-02T09:17:35.110958,[],2024-07-02T09:17:04.467981,2024-07-02T09:17:35.117449
19,0.9,2024-07-02T09:17:35.513110,2024-07-02T09:18:07.143352,[],2024-07-02T09:17:35.132176,2024-07-02T09:18:07.151493
20,kernel died,,,[20],2024-07-02T09:18:07.165345,2024-07-02T09:19:03.585035
21,0.9,2024-07-02T09:19:04.001769,2024-07-02T09:19:29.154415,"[19, 20]",2024-07-02T09:19:03.586293,2024-07-02T09:19:29.160685
22,0.875,2024-07-02T09:19:29.559515,2024-07-02T09:19:56.336946,"[19, 20, 21]",2024-07-02T09:19:29.176170,2024-07-02T09:19:56.341038
23,0.775,2024-07-02T09:19:56.703929,2024-07-02T09:20:19.893624,"[19, 20, 21, 22]",2024-07-02T09:19:56.353008,2024-07-02T09:20:19.899231
24,0.9,2024-07-02T09:20:20.264951,2024-07-02T09:20:44.147901,"[19, 20, 21, 22, 23]",2024-07-02T09:20:19.912796,2024-07-02T09:20:44.152922
