,timestamp,gpu_memory_util,gpu_util,power,total_energy,temperature,gpu_memory_total,gpu_memory_reserved,gpu_memory_free,gpu_memory_used,cpu_util,host_memory_total,host_memory_used,host_memory_free,host_memory_percentage,swap_memory_total,swap_memory_used,swap_memory_free,swap_memory_percentage,swap_memory_in,swap_memory_out
0,2024-08-21T14:05:30.266466,0,0,77912,661548541821,45,48305799168,569180160,47039971328,696647680,6.5,101243179008,6315315200,13400735744,7.3,8589930496,65327104,8524603392,0.8,21613559808,158261981184
1,2024-08-21T14:05:30.761520,0,0,77912,661548580564,45,48305799168,569180160,47039971328,696647680,27.9,101243179008,6684274688,13031706624,7.6,8589930496,65327104,8524603392,0.8,21613559808,158261981184
2,2024-08-21T14:05:31.262176,0,0,78383,661548619267,45,48305799168,569180160,47039971328,696647680,83.6,101243179008,7494041600,12221919232,8.4,8589930496,65327104,8524603392,0.8,21613559808,158261981184
3,2024-08-21T14:05:31.762808,0,0,78383,661548657980,45,48305799168,569180160,47039971328,696647680,6.2,101243179008,7561211904,12154630144,8.5,8589930496,65327104,8524603392,0.8,21613559808,158261981184
4,2024-08-21T14:05:32.263270,0,0,78173,661548696680,45,48305799168,569180160,47039971328,696647680,5.0,101243179008,7635271680,12080570368,8.6,8589930496,65327104,8524603392,0.8,21613559808,158261981184
5,2024-08-21T14:05:32.763909,0,0,78173,661548735367,45,48305799168,569180160,47039971328,696647680,7.3,101243179008,7691362304,12024479744,8.6,8589930496,65327104,8524603392,0.8,21613559808,158261981184
6,2024-08-21T14:05:33.264477,0,0,77963,661548774078,45,48305799168,569180160,47039971328,696647680,21.5,101243179008,7743422464,11972386816,8.7,8589930496,65327104,8524603392,0.8,21613559808,158261981184
7,2024-08-21T14:05:33.765082,0,0,77963,661548812788,45,48305799168,569180160,47039971328,696647680,3.4,101243179008,7765733376,11950059520,8.7,8589930496,65327104,8524603392,0.8,21613559808,158261981184
8,2024-08-21T14:05:34.265453,0,0,78123,661548851502,45,48305799168,569180160,47039971328,696647680,1.4,101243179008,7769317376,11946475520,8.7,8589930496,65327104,8524603392,0.8,21613559808,158261981184
9,2024-08-21T14:05:34.766169,0,0,78123,661548890200,45,48305799168,569180160,47039971328,696647680,0.1,101243179008,7769833472,11945959424,8.7,8589930496,65327104,8524603392,0.8,21613559808,158261981184
10,2024-08-21T14:05:35.266777,0,0,78090,661548928923,45,48305799168,569180160,47039971328,696647680,0.6,101243179008,7769833472,11945959424,8.7,8589930496,65327104,8524603392,0.8,21613559808,158261981184
11,2024-08-21T14:05:35.767468,0,0,78090,661548967590,45,48305799168,569180160,47039971328,696647680,0.2,101243179008,7770091520,11945701376,8.7,8589930496,65327104,8524603392,0.8,21613559808,158261981184
12,2024-08-21T14:05:36.268220,0,0,77904,661549006272,45,48305799168,569180160,47039971328,696647680,0.1,101243179008,7770349568,11945443328,8.7,8589930496,65327104,8524603392,0.8,21613559808,158261981184
13,2024-08-21T14:05:36.768842,0,0,77904,661549044985,45,48305799168,569180160,47039971328,696647680,1.0,101243179008,7765348352,11950444544,8.7,8589930496,65327104,8524603392,0.8,21613559808,158261981184
14,2024-08-21T14:05:37.269253,0,0,78098,661549083680,45,48305799168,569180160,47039971328,696647680,0.8,101243179008,7763529728,11952263168,8.7,8589930496,65327104,8524603392,0.8,21613559808,158261981184
15,2024-08-21T14:05:37.770010,0,0,78098,661549122360,45,48305799168,569180160,47039971328,696647680,0.1,101243179008,7763378176,11952414720,8.7,8589930496,65327104,8524603392,0.8,21613559808,158261981184
16,2024-08-21T14:05:38.270836,0,0,78049,661549161079,45,48305799168,569180160,47039971328,696647680,0.5,101243179008,7764410368,11951382528,8.7,8589930496,65327104,8524603392,0.8,21613559808,158261981184
17,2024-08-21T14:05:38.771264,0,0,78049,661549199723,45,48305799168,569180160,47039971328,696647680,0.5,101243179008,7764406272,11951382528,8.7,8589930496,65327104,8524603392,0.8,21613559808,158261981184
18,2024-08-21T14:05:39.272041,0,0,77864,661549238516,45,48305799168,569180160,47039971328,696647680,2.4,101243179008,7789633536,11926138880,8.7,8589930496,65327104,8524603392,0.8,21613559808,158261981184
19,2024-08-21T14:05:39.772621,0,0,77864,661549277206,45,48305799168,569180160,47039971328,696647680,5.1,101243179008,7939059712,11776729088,8.9,8589930496,65327104,8524603392,0.8,21613559808,158261981184
20,2024-08-21T14:05:40.273580,0,0,78575,661549316250,45,48305799168,569180160,47013429248,723189760,11.4,101243179008,8182099968,11525296128,9.1,8589930496,65327104,8524603392,0.8,21613559808,158261981184
21,2024-08-21T14:05:40.774047,0,2,78811,661549355637,45,48305799168,569180160,46713536512,1023082496,5.1,101243179008,8797745152,10907832320,9.7,8589930496,65327104,8524603392,0.8,21613559808,158261981184
22,2024-08-21T14:05:41.274653,0,1,78969,661549394805,45,48305799168,569180160,46195539968,1541079040,5.1,101243179008,9006272512,10692796416,9.9,8589930496,65327104,8524603392,0.8,21613559808,158261981184
23,2024-08-21T14:05:41.775360,0,0,102982,661549465506,51,48305799168,569180160,41447587840,6289031168,5.2,101243179008,9414492160,10284576768,10.3,8589930496,65327104,8524603392,0.8,21613559808,158261981184
24,2024-08-21T14:05:42.275565,60,92,183308,661549602951,54,48305799168,569180160,41447587840,6289031168,5.0,101243179008,9414492160,10284576768,10.3,8589930496,65327104,8524603392,0.8,21613559808,158261981184
25,2024-08-21T14:05:42.776348,63,96,282199,661549741435,56,48305799168,569180160,41447587840,6289031168,5.3,101243179008,9414750208,10284318720,10.3,8589930496,65327104,8524603392,0.8,21613559808,158261981184
