,accuracy,start,end,dead_kernels,external_start,external_end
0,0.8,1718814783.2613587,1718814801.8122485,[],2024-06-19T16:33:03.229392,2024-06-19T16:33:21.817438
1,0.85,1718814801.8429806,1718814819.0970187,[],2024-06-19T16:33:21.831469,2024-06-19T16:33:39.100818
2,0.9,1718814819.1250665,1718814837.0449107,[],2024-06-19T16:33:39.113049,2024-06-19T16:33:57.048520
3,0.85,1718814837.0761886,1718814853.3664126,[],2024-06-19T16:33:57.065310,2024-06-19T16:34:13.369791
4,0.875,1718814853.3929899,1718814870.4679322,[],2024-06-19T16:34:13.381384,2024-06-19T16:34:30.471378
5,0.85,1718814870.4942229,1718814887.9094455,[],2024-06-19T16:34:30.482806,2024-06-19T16:34:47.913636
6,0.8,1718814887.9407969,1718814904.6385386,[],2024-06-19T16:34:47.927880,2024-06-19T16:35:04.642563
7,0.9,1718814904.6669166,1718814921.9343276,[],2024-06-19T16:35:04.655625,2024-06-19T16:35:21.939037
8,out of memory,1718814921.9644918,1718814931.2905834,[],2024-06-19T16:35:21.952959,2024-06-19T16:35:31.295328
9,out of memory,1718814931.3205862,1718814937.9606922,[],2024-06-19T16:35:31.309485,2024-06-19T16:35:37.965471
10,out of memory,1718814937.9918902,1718814944.8790138,[],2024-06-19T16:35:37.978474,2024-06-19T16:35:44.884015
11,out of memory,1718814944.9125865,1718814951.898406,[],2024-06-19T16:35:44.898985,2024-06-19T16:35:51.902942
12,out of memory,1718814951.9276392,1718814958.9967496,[],2024-06-19T16:35:51.915251,2024-06-19T16:35:59.001692
13,out of memory,1718814959.0300338,1718814966.3677328,[],2024-06-19T16:35:59.018523,2024-06-19T16:36:06.372489
14,out of memory,1718814966.4003916,1718814973.1056087,[],2024-06-19T16:36:06.387316,2024-06-19T16:36:13.110469
15,out of memory,1718814973.1362605,1718814980.2344565,[],2024-06-19T16:36:13.125505,2024-06-19T16:36:20.238872
16,out of memory,1718814980.262228,1718814987.1278567,[],2024-06-19T16:36:20.251301,2024-06-19T16:36:27.131726
17,out of memory,1718814987.155919,1718814994.674468,[],2024-06-19T16:36:27.144635,2024-06-19T16:36:34.678536
18,out of memory,1718814994.703639,1718815001.2698483,[],2024-06-19T16:36:34.692471,2024-06-19T16:36:41.273661
19,out of memory,1718815001.298847,1718815009.2002954,[],2024-06-19T16:36:41.284550,2024-06-19T16:36:49.205955
20,out of memory,1718815009.2327244,1718815017.2596297,[],2024-06-19T16:36:49.221211,2024-06-19T16:36:57.263710
21,out of memory,1718815017.3059535,1718815024.472459,[],2024-06-19T16:36:57.275982,2024-06-19T16:37:04.478321
22,out of memory,1718815024.5052292,1718815035.6634467,[],2024-06-19T16:37:04.494253,2024-06-19T16:37:15.667918
23,out of memory,1718815035.693214,1718815042.7189417,[],2024-06-19T16:37:15.681671,2024-06-19T16:37:22.723712
24,out of memory,1718815042.749097,1718815050.0969296,[],2024-06-19T16:37:22.737897,2024-06-19T16:37:30.101607
