,accuracy,start,end,dead_kernels,external_start,external_end
0,0.875,2024-06-19T17:11:24.278856,2024-06-19T17:11:42.906114,[],2024-06-19T17:11:24.254016,2024-06-19T17:11:42.911322
1,0.9,2024-06-19T17:11:42.937287,2024-06-19T17:12:00.080158,[],2024-06-19T17:11:42.926558,2024-06-19T17:12:00.084254
2,0.9,2024-06-19T17:12:00.107685,2024-06-19T17:12:16.920697,[],2024-06-19T17:12:00.096374,2024-06-19T17:12:16.924583
3,0.875,2024-06-19T17:12:16.949411,2024-06-19T17:12:34.369237,[],2024-06-19T17:12:16.937916,2024-06-19T17:12:34.374105
4,0.825,2024-06-19T17:12:34.400049,2024-06-19T17:12:50.727569,[],2024-06-19T17:12:34.389646,2024-06-19T17:12:50.730865
5,0.9,2024-06-19T17:12:50.753565,2024-06-19T17:13:07.614488,[],2024-06-19T17:12:50.742864,2024-06-19T17:13:07.618337
6,0.825,2024-06-19T17:13:07.644109,2024-06-19T17:13:24.097860,[],2024-06-19T17:13:07.632401,2024-06-19T17:13:24.101109
7,0.825,2024-06-19T17:13:24.123786,2024-06-19T17:13:40.675996,[],2024-06-19T17:13:24.113319,2024-06-19T17:13:40.679093
8,0.85,2024-06-19T17:13:40.704769,2024-06-19T17:13:58.339909,[],2024-06-19T17:13:40.690390,2024-06-19T17:13:58.342778
9,0.875,2024-06-19T17:13:58.367249,2024-06-19T17:14:17.085955,[],2024-06-19T17:13:58.355709,2024-06-19T17:14:17.089650
10,0.8,2024-06-19T17:14:17.113526,2024-06-19T17:14:36.716187,[],2024-06-19T17:14:17.102241,2024-06-19T17:14:36.719271
11,0.85,2024-06-19T17:14:36.746895,2024-06-19T17:14:56.019857,[],2024-06-19T17:14:36.732514,2024-06-19T17:14:56.022938
12,0.775,2024-06-19T17:14:56.044647,2024-06-19T17:15:15.678040,[],2024-06-19T17:14:56.033884,2024-06-19T17:15:15.681084
13,0.9,2024-06-19T17:15:15.702309,2024-06-19T17:15:36.679689,[],2024-06-19T17:15:15.691417,2024-06-19T17:15:36.682836
14,0.875,2024-06-19T17:15:36.704881,2024-06-19T17:15:56.116585,[],2024-06-19T17:15:36.693865,2024-06-19T17:15:56.119695
15,0.875,2024-06-19T17:15:56.143024,2024-06-19T17:16:15.281833,[],2024-06-19T17:15:56.131092,2024-06-19T17:16:15.286102
16,0.875,2024-06-19T17:16:15.309220,2024-06-19T17:16:34.366402,[],2024-06-19T17:16:15.298407,2024-06-19T17:16:34.370240
17,0.8,2024-06-19T17:16:34.392353,2024-06-19T17:16:53.481265,[],2024-06-19T17:16:34.381512,2024-06-19T17:16:53.485723
18,0.8,2024-06-19T17:16:53.510197,2024-06-19T17:17:22.623140,[],2024-06-19T17:16:53.497586,2024-06-19T17:17:22.740076
19,0.85,2024-06-19T17:17:23.265420,2024-06-19T17:18:01.410032,[],2024-06-19T17:17:22.828210,2024-06-19T17:18:01.418406
20,0.85,2024-06-19T17:18:01.859478,2024-06-19T17:18:24.103395,[19],2024-06-19T17:18:01.437720,2024-06-19T17:18:24.107249
21,0.9,2024-06-19T17:18:24.541801,2024-06-19T17:18:47.111155,"[19, 20]",2024-06-19T17:18:24.118936,2024-06-19T17:18:47.115661
22,0.9,2024-06-19T17:18:47.543878,2024-06-19T17:19:12.229188,"[19, 20, 21]",2024-06-19T17:18:47.132272,2024-06-19T17:19:12.233190
23,,2024-06-19T17:19:12.657978,2024-06-19T17:19:39.553833,"[0, 19, 20, 21]",2024-06-19T17:19:12.247731,2024-06-19T17:19:39.558239
24,0.85,2024-06-19T17:19:49.980870,2024-06-19T17:20:16.185569,"[0, 19, 20, 21, 23]",2024-06-19T17:19:49.579397,2024-06-19T17:20:16.190239
