,accuracy,start,end,dead_kernels,external_start,external_end
0,97.82652243589743,2024-06-21T13:03:37.732184,2024-06-21T13:04:01.865376,[],2024-06-21T13:03:37.725933,2024-06-21T13:04:02.781585
1,98.21714743589743,2024-06-21T13:04:02.805672,2024-06-21T13:04:28.845991,[],2024-06-21T13:04:02.795742,2024-06-21T13:04:29.678460
2,97.75641025641026,2024-06-21T13:04:29.698436,2024-06-21T13:04:54.408656,[],2024-06-21T13:04:29.691477,2024-06-21T13:04:55.208718
3,98.19711538461539,2024-06-21T13:04:55.227166,2024-06-21T13:05:19.148802,[],2024-06-21T13:04:55.221047,2024-06-21T13:05:19.908889
4,97.94671474358974,2024-06-21T13:05:19.927995,2024-06-21T13:05:42.720229,[],2024-06-21T13:05:19.921557,2024-06-21T13:05:43.486384
5,98.25721153846153,2024-06-21T13:05:43.505032,2024-06-21T13:06:07.560646,[],2024-06-21T13:05:43.498874,2024-06-21T13:06:08.317895
6,98.18709935897436,2024-06-21T13:06:08.336576,2024-06-21T13:06:33.414831,[],2024-06-21T13:06:08.329526,2024-06-21T13:06:34.152517
7,98.13701923076923,2024-06-21T13:06:34.172777,2024-06-21T13:06:57.282484,[],2024-06-21T13:06:34.165517,2024-06-21T13:06:57.971695
8,98.17708333333333,2024-06-21T13:06:57.989898,2024-06-21T13:07:21.109328,[],2024-06-21T13:06:57.983619,2024-06-21T13:07:21.838836
9,98.11698717948718,2024-06-21T13:07:21.858300,2024-06-21T13:07:44.714161,[],2024-06-21T13:07:21.852319,2024-06-21T13:07:45.475393
10,97.80649038461539,2024-06-21T13:07:45.492564,2024-06-21T13:08:08.881052,[],2024-06-21T13:07:45.486968,2024-06-21T13:08:09.582604
11,97.59615384615384,2024-06-21T13:08:09.600212,2024-06-21T13:08:33.723449,[],2024-06-21T13:08:09.594086,2024-06-21T13:08:34.434657
12,98.01682692307692,2024-06-21T13:08:34.453341,2024-06-21T13:08:58.375046,[],2024-06-21T13:08:34.447207,2024-06-21T13:08:59.049182
13,97.99679487179488,2024-06-21T13:08:59.069554,2024-06-21T13:09:22.606272,[],2024-06-21T13:08:59.062267,2024-06-21T13:09:23.317062
14,98.1670673076923,2024-06-21T13:09:23.335432,2024-06-21T13:09:47.003863,[],2024-06-21T13:09:23.329312,2024-06-21T13:09:47.711483
15,97.90665064102564,2024-06-21T13:09:47.733201,2024-06-21T13:10:12.312558,[],2024-06-21T13:09:47.724738,2024-06-21T13:10:13.050418
16,97.90665064102564,2024-06-21T13:10:13.068987,2024-06-21T13:10:37.461633,[],2024-06-21T13:10:13.062915,2024-06-21T13:10:38.233093
17,97.97676282051282,2024-06-21T13:10:38.256176,2024-06-21T13:11:01.981129,[],2024-06-21T13:10:38.247643,2024-06-21T13:11:02.677194
18,97.98677884615384,2024-06-21T13:11:02.695359,2024-06-21T13:11:26.275870,[],2024-06-21T13:11:02.689210,2024-06-21T13:11:26.971863
19,98.07692307692308,2024-06-21T13:11:26.992756,2024-06-21T13:11:50.313979,[],2024-06-21T13:11:26.986052,2024-06-21T13:11:51.067409
20,98.046875,2024-06-21T13:11:51.087062,2024-06-21T13:12:14.316773,[],2024-06-21T13:11:51.080616,2024-06-21T13:12:15.042785
21,98.02684294871794,2024-06-21T13:12:15.087346,2024-06-21T13:12:39.158925,[],2024-06-21T13:12:15.055559,2024-06-21T13:12:39.926433
22,98.21714743589743,2024-06-21T13:12:39.946805,2024-06-21T13:13:03.776057,[],2024-06-21T13:12:39.941038,2024-06-21T13:13:04.481818
23,98.1270032051282,2024-06-21T13:13:04.501092,2024-06-21T13:13:28.054162,[],2024-06-21T13:13:04.495342,2024-06-21T13:13:28.758898
24,97.80649038461539,2024-06-21T13:13:28.779606,2024-06-21T13:13:52.068138,[],2024-06-21T13:13:28.772869,2024-06-21T13:13:52.756073
