,accuracy,start,end,dead_kernels,external_start,external_end
0,0.875,2024-06-19T16:01:50.289842,2024-06-19T16:02:14.135393,[],2024-06-19T16:01:50.282320,2024-06-19T16:02:17.470706
1,0.875,2024-06-19T16:02:17.488435,2024-06-19T16:02:40.145748,[],2024-06-19T16:02:17.481812,2024-06-19T16:02:43.480451
2,0.875,2024-06-19T16:02:43.499421,2024-06-19T16:03:06.495651,[],2024-06-19T16:02:43.492746,2024-06-19T16:03:09.855415
3,0.775,2024-06-19T16:03:09.876962,2024-06-19T16:03:33.430692,[],2024-06-19T16:03:09.867948,2024-06-19T16:03:36.919544
4,0.9,2024-06-19T16:03:36.940505,2024-06-19T16:04:01.493938,[],2024-06-19T16:03:36.931829,2024-06-19T16:04:04.849663
