,timestamp,gpu_memory_util,gpu_util,power,total_energy,temperature,gpu_memory_total,gpu_memory_reserved,gpu_memory_free,gpu_memory_used,cpu_util,host_memory_total,host_memory_used,host_memory_free,host_memory_percentage,swap_memory_total,swap_memory_used,swap_memory_free,swap_memory_percentage,swap_memory_in,swap_memory_out
0,2024-07-02T11:21:34.318854,0,0,62545,89996223083,42,48305799168,569180160,47736422400,196608,5.9,101243179008,1788338176,95535013888,2.7,8589930496,113799168,8476131328,1.3,19890880512,149429370880
1,2024-07-02T11:21:34.812199,0,0,62545,89996254263,42,48305799168,569180160,47736422400,196608,30.1,101243179008,2161692672,95161659392,3.1,8589930496,113795072,8476135424,1.3,19890896896,149429370880
2,2024-07-02T11:21:35.312726,0,0,62545,89996270643,41,48305799168,569180160,47736422400,196608,91.8,101243179008,2941673472,94381219840,3.9,8589930496,113795072,8476135424,1.3,19890900992,149429370880
3,2024-07-02T11:21:35.813436,0,0,27296,89996300571,42,48305799168,569180160,47736422400,196608,9.4,101243179008,3040272384,94282489856,3.9,8589930496,113786880,8476143616,1.3,19890941952,149429370880
4,2024-07-02T11:21:36.314014,0,0,43677,89996330540,42,48305799168,569180160,47736422400,196608,5.1,101243179008,3130585088,94192177152,4.0,8589930496,113786880,8476143616,1.3,19890941952,149429370880
5,2024-07-02T11:21:36.814536,0,0,43677,89996360466,42,48305799168,569180160,47736422400,196608,21.2,101243179008,3195531264,94126305280,4.1,8589930496,113786880,8476143616,1.3,19890941952,149429370880
6,2024-07-02T11:21:37.315104,0,0,60081,89996386745,42,48305799168,569180160,47736422400,196608,3.8,101243179008,3236929536,94084505600,4.1,8589930496,113786880,8476143616,1.3,19890941952,149429370880
7,2024-07-02T11:21:37.815800,0,0,60081,89996405567,41,48305799168,569180160,47736422400,196608,3.5,101243179008,3233816576,94087618560,4.1,8589930496,113786880,8476143616,1.3,19890941952,149429370880
8,2024-07-02T11:21:38.316212,0,0,59838,89996435275,42,48305799168,569180160,47736422400,196608,0.5,101243179008,3234492416,94086844416,4.1,8589930496,113786880,8476143616,1.3,19890941952,149429370880
9,2024-07-02T11:21:38.817039,0,0,59838,89996464983,42,48305799168,569180160,47736422400,196608,0.3,101243179008,3234492416,94086844416,4.1,8589930496,113786880,8476143616,1.3,19890941952,149429370880
10,2024-07-02T11:21:39.317782,0,0,59594,89996494707,42,48305799168,569180160,47736422400,196608,0.5,101243179008,3234750464,94086586368,4.1,8589930496,113786880,8476143616,1.3,19890941952,149429370880
11,2024-07-02T11:21:40.003673,0,0,59594,89996514323,40,48305799168,569180160,47736422400,196608,2.8,101243179008,3253059584,94068277248,4.2,8589930496,113786880,8476143616,1.3,19890941952,149429370880
12,2024-07-02T11:21:40.318802,0,0,59593,89996531797,41,48305799168,569180160,47736422400,196608,1.0,101243179008,3246362624,94074974208,4.2,8589930496,113786880,8476143616,1.3,19890941952,149429370880
13,2024-07-02T11:21:40.819568,0,0,59593,89996561541,41,48305799168,569180160,47736422400,196608,0.6,101243179008,3246809088,94074511360,4.2,8589930496,113786880,8476143616,1.3,19890941952,149429370880
14,2024-07-02T11:21:41.319965,0,0,59593,89996591303,41,48305799168,569180160,47736422400,196608,0.4,101243179008,3247816704,94073479168,4.2,8589930496,113786880,8476143616,1.3,19890941952,149429370880
15,2024-07-02T11:21:41.820706,0,0,59593,89996621012,41,48305799168,569180160,47736422400,196608,3.0,101243179008,3347107840,93974130688,4.3,8589930496,113786880,8476143616,1.3,19890941952,149429370880
16,2024-07-02T11:21:42.321367,0,0,59593,89996637342,41,48305799168,569180160,47736422400,196608,8.9,101243179008,3463249920,93858017280,4.4,8589930496,113786880,8476143616,1.3,19890941952,149429370880
17,2024-07-02T11:21:42.821901,0,0,43672,89996667767,41,48305799168,569180160,47736422400,196608,9.0,101243179008,4037259264,93283905536,4.9,8589930496,113786880,8476143616,1.3,19890941952,149429370880
18,2024-07-02T11:21:43.322512,0,0,44736,89996698446,41,48305799168,569180160,47736422400,196608,5.5,101243179008,4346408960,92974755840,5.2,8589930496,113786880,8476143616,1.3,19890941952,149429370880
