,timestamp,gpu_memory_util,gpu_util,power,total_energy,temperature,gpu_memory_total,gpu_memory_reserved,gpu_memory_free,gpu_memory_used,cpu_util,host_memory_total,host_memory_used,host_memory_free,host_memory_percentage,swap_memory_total,swap_memory_used,swap_memory_free,swap_memory_percentage,swap_memory_in,swap_memory_out
26,2024-07-01T14:30:49.451119,61,95,278901,84803488319,60,48305799168,569180160,42141024256,5595594752,9.2,101243179008,5590081536,87970070528,6.5,8589930496,93122560,8496807936,1.1,18058657792,140621090816
27,2024-07-01T14:30:49.951915,61,84,216412,84803566966,54,48305799168,569180160,42141024256,5595594752,3.1,101243179008,5593374720,87966777344,6.5,8589930496,93122560,8496807936,1.1,18058657792,140621090816
28,2024-07-01T14:30:50.629857,22,35,175690,84803687834,59,48305799168,569180160,42141024256,5595594752,6.5,101243179008,5601579008,87958573056,6.6,8589930496,93122560,8496807936,1.1,18058657792,140621090816
29,2024-07-01T14:30:50.952853,60,95,195646,84803797849,60,48305799168,569180160,42141024256,5595594752,5.4,101243179008,5593575424,87966576640,6.5,8589930496,93122560,8496807936,1.1,18058657792,140621090816
30,2024-07-01T14:30:51.730664,62,94,269691,84803987656,61,48305799168,569180160,42141024256,5595594752,8.2,101243179008,5607505920,87952646144,6.6,8589930496,93122560,8496807936,1.1,18058657792,140621090816
31,2024-07-01T14:30:51.953802,61,96,276474,84804071715,61,48305799168,569180160,42141024256,5595594752,5.4,101243179008,5599506432,87960645632,6.6,8589930496,93122560,8496807936,1.1,18058657792,140621090816
32,2024-07-01T14:30:52.454414,67,97,259607,84804183556,57,48305799168,569180160,42141024256,5595594752,4.1,101243179008,5599739904,87960420352,6.6,8589930496,93122560,8496807936,1.1,18058657792,140621090816
33,2024-07-01T14:30:52.955136,0,0,190095,84804226084,54,48305799168,569180160,42141024256,5595594752,2.3,101243179008,5604638720,87955521536,6.6,8589930496,93122560,8496807936,1.1,18058657792,140621090816
34,2024-07-01T14:30:53.455842,19,31,89457,84804282302,53,48305799168,569180160,42141024256,5595594752,1.6,101243179008,5604892672,87955292160,6.6,8589930496,93122560,8496807936,1.1,18058657792,140621090816
35,2024-07-01T14:30:53.956410,0,0,89268,84804324245,53,48305799168,569180160,42141024256,5595594752,3.7,101243179008,5608779776,87951413248,6.6,8589930496,93122560,8496807936,1.1,18058657792,140621090816
36,2024-07-01T14:30:54.456862,0,0,88090,84804364561,52,48305799168,569180160,42141024256,5595594752,20.0,101243179008,5637197824,87922876416,6.6,8589930496,93122560,8496807936,1.1,18058657792,140621090816
37,2024-07-01T14:30:55.018031,0,0,88090,84804405403,52,48305799168,569180160,42141024256,5595594752,6.3,101243179008,5737308160,87822766080,6.7,8589930496,93122560,8496807936,1.1,18058657792,140621090816
38,2024-07-01T14:30:55.458083,0,0,82078,84804445917,51,48305799168,569180160,42141024256,5595594752,5.8,101243179008,5775577088,87784357888,6.7,8589930496,93122560,8496807936,1.1,18058657792,140621090816
39,2024-07-01T14:30:55.959102,0,0,82078,84804485823,51,48305799168,569180160,42141024256,5595594752,21.6,101243179008,5843689472,87716245504,6.8,8589930496,93122560,8496807936,1.1,18058657792,140621090816
40,2024-07-01T14:30:56.459258,0,0,86924,84804526847,51,48305799168,569180160,42141024256,5595594752,4.7,101243179008,5857861632,87702056960,6.8,8589930496,93122560,8496807936,1.1,18058657792,140621090816
41,2024-07-01T14:30:56.960031,0,0,86924,84804566659,51,48305799168,569180160,42141024256,5595594752,0.6,101243179008,5858553856,87701282816,6.8,8589930496,93122560,8496807936,1.1,18058657792,140621090816
42,2024-07-01T14:30:57.460609,0,0,84226,84804607221,51,48305799168,569180160,42141024256,5595594752,2.4,101243179008,5856481280,87703355392,6.8,8589930496,93122560,8496807936,1.1,18058657792,140621090816
43,2024-07-01T14:30:57.961315,0,0,84226,84804646992,51,48305799168,569180160,42141024256,5595594752,1.0,101243179008,5861122048,87698714624,6.8,8589930496,93122560,8496807936,1.1,18058657792,140621090816
